Order_ID,Order_Date,Customer_ID,Product,Category,Region,Quantity,Unit_Price,Discount,Sales,Cost,Payment_Method
ORD100000,06/03/2024,CUST10169,Keyboard,Accessories,North,7,"₹1,603.83",0.05,10665.456558442971,7221.105431312247,Debit Card
ORD100001,19/07/2025,CUST10530,Monitor,Electronics,West,4,"₹13,076.96",0.05,49692.44161328171,38307.243826564576,Cash
ORD100002,22/04/2025,CUST11005,Laptop,Electronics,North,5,"₹74,519.63",,372598.1276731024,247741.5786594413,Credit Card
ORD100003,16/11/2024,CUST11150,Laptop,Electronics,East,3,"₹62,277.60",0.0,186832.78812616577,148038.48368167641,Debit Card
ORD100004,12/11/2024,CUST12485,Keyboard,Accessories,North,7,"₹1,997.29",0.0,13981.021541826936,11187.315377398721,UPI
ORD100005,18/09/2025,CUST10840,Keyboard,Accessories,West,1,"₹1,941.77",0.05,1844.6858265003223,1169.5134303817354,UPI
ORD100006,03/03/2024,CUST11202,Keyboard,Accessories,North,2,"₹2,022.26",0.0,4044.512118339448,3507.3052316708654,Debit Card
ORD100007,24/05/2025,CUST10094,Smartphone,Electronics,West,7,"₹29,319.35",0.15,174450.1461209088,176297.36218041254,UPI
ORD100008,27/05/2024,CUST10227,Keyboard,Accessories,South,4,"₹1,584.70",0.05,6021.870687898487,4037.4607878442825,Debit Card
ORD100009,09/03/2024,CUST11216,Laptop,Electronics,EAST,2,"₹57,557.95",0.2,92092.71363858577,84470.02379573902,Debit Card
ORD100010,19/01/2025,CUST10870,Smartphone,Electronics,South,3,"₹32,368.79",0.15,82540.40374951206,63947.10327853699,Debit Card
ORD100011,13/12/2025,CUST11640,Monitor,Electronics,East,2,"₹13,307.99",0.1,,23153.16920958082,UPI
ORD100012,21/06/2025,CUST12109,Keyboard,Accessories,North,4,"₹1,776.79",0.2,5685.724928339225,5390.700807370072,Net Banking
ORD100013,09/07/2025,CUST10130,Mouse,Accessories,South,2,₹781.08,0.0,1562.1682801880588,1243.5556807561284,Credit Card
ORD100014,07/06/2025,CUST10413,Printer,Office Equipment,North,3,"₹7,830.11",0.1,253695.4444106744,20526.02698497421,Credit Card
ORD100015,27/07/2025,CUST11418,Tablet,Electronics,West,7,"₹22,650.76",0.1,142699.80255559555,125011.42163409466,Credit Card
ORD100016,09/01/2025,CUST10248,Monitor,Electronics,West,1,"₹13,507.05",0.0,13507.047660773891,11397.476667917854,Credit Card
ORD100017,03/04/2024,CUST10775,Tablet,Electronics,East,6,"₹21,337.25",0.0,128023.50714275427,85437.07228898485,UPI
ORD100018,05/09/2025,CUST11768,Laptop,Electronics,East,1,"₹67,937.09",0.1,61143.377756745176,45125.82365734053,Net Banking
ORD100019,24/11/2024,CUST10101,Tablet,Electronics,East,4,"₹22,277.25",0.1,80198.10459041288,64473.48767910888,Debit Card
ORD100020,31/12/2024,CUST11545,Monitor,Electronics,South,5,"₹13,403.13",0.15,56963.29502011653,56749.75085408183,Cash
ORD100021,27/09/2024,CUST10242,Tablet,Electronics,South,7,"₹24,193.76",0.0,169356.30765787128,103468.85604773503,Net Banking
ORD100022,13/05/2024,CUST11897,Printer,Office Equipment,West,2,"₹8,188.24",0.0,16376.48222491478,11849.81701722054,Credit Card
ORD100023,07/11/2025,CUST11790,Mouse,Accessories,East,1,₹947.94,,947.936636611124,787.7109049424047,Credit Card
ORD100024,24/07/2025,CUST10132,Printer,Office Equipment,North,6 units,"₹9,938.26",0.0,59629.551610114504,38740.528164107935,Cash
ORD100025,15/04/2025,CUST11347,Laptop,Electronics,East,7,"₹73,389.86",,513729.0406174115,396805.9155192952,Credit Card
ORD100026,20/10/2024,CUST11179,Smartphone,Electronics,South,4,"₹30,809.34",0.15,104751.77050007178,76356.57026370328,Net Banking
ORD100027,23/08/2025,CUST12389,Mouse,Accessories,North,1,₹812.50,0.1,731.2464301440056,489.8571454160618,Credit Card
ORD100028,02/02/2025,CUST10099,Keyboard,Accessories,,4,"₹1,831.45",0.05,6959.492236541282,5049.607109952865,UPI
ORD100029,19/11/2024,CUST11703,Laptop,Electronics,East,3,"₹68,233.47",0.2,163760.32974561083,168996.60045416545,Net Banking
ORD100030,24/11/2024,CUST11359,Mouse,Accessories,South,4,₹838.57,,3354.2881864416727,2051.395802942907,Net Banking
ORD100031,14/06/2024,CUST12406,Laptop,Electronics,South,1,"₹74,223.53",0.15,63089.9995662333,52115.58980398047,Net Banking
ORD100032,08/03/2024,CUST11836,Printer,Office Equipment,North,3,"₹8,269.18",0.15,21086.411240256086,19945.675528077398,Cash
ORD100033,08/02/2025,CUST10712,Smartphone,Electronics,East,7,"₹33,702.17",0.1,212323.68798214986,165932.7082046198,Net Banking
ORD100034,10/10/2025,CUST10272,Monitor,Electronics,West,1,"₹11,730.65",0.0,11730.650727088712,8611.070066088383,UPI
ORD100035,16/02/2024,CUST11456,Tablet,Electronics,East,7,"₹18,703.66",,130925.60241528015,96897.7518655614,Net Banking
ORD100036,18/09/2025,CUST12123,Keyboard,Accessories,North,4,"₹1,823.38",0.0,7293.504398435954,6230.332606050792,Net Banking
ORD100037,27/08/2025,CUST11396,Mouse,Accessories,East,5,₹934.64,0.1,4205.867327089576,3950.008844323613,Net Banking
ORD100038,21/07/2024,CUST11451,Mouse,Accessories,South,7,₹999.73,0.05,6648.191900685499,4323.529677195941,Cash
ORD100039,06/04/2025,CUST11309,Printer,Office Equipment,East,2,"₹9,109.52",0.15,15486.185264578511,14462.61955553291,Net Banking
ORD100040,30/04/2024,CUST10928,Monitor,Electronics,,7,"₹10,538.87",0.15,62706.251365711505,55477.87643148964,Net Banking
ORD100041,07/07/2025,CUST12243,Printer,Office Equipment,South,2,"₹10,152.40",0.1,18274.31389822851,14198.443546722297,Debit Card
ORD100042,26/05/2025,CUST10416,Keyboard,Accessories,South,3,"₹1,835.29",0.0,5505.8747612992665,4062.8591422700138,Debit Card
ORD100043,15/09/2024,CUST11319,Printer,Office Equipment,East,,"₹8,383.13",0.0,33532.536873299534,28380.112439644432,Cash
ORD100044,19/02/2024,CUST12173,Mouse,Accessories,West,5,"₹1,007.69",0.0,5038.459132259467,4113.681464378444,UPI
ORD100045,09/12/2025,CUST10659,Smartphone,Electronics,West,3,"₹26,588.22",,79764.66375390993,60546.191708439685,Credit Card
ORD100046,21/11/2024,CUST11055,Mouse,Accessories,North,6,₹791.32,0.0,4747.9221992016455,3082.204111870565,Debit Card
ORD100047,14/10/2025,CUST11754,Printer,Office Equipment,North,1,"₹9,094.52",,9094.52455326157,7032.1034107802125,Net Banking
ORD100048,09/05/2025,CUST10319,Smartphone,Electronics,West,5,"₹31,123.96",0.0,155619.79025127942,115072.54743007105,Net Banking
ORD100049,22/07/2025,CUST10662,Tablet,Electronics,West,5,"₹22,072.33",0.2,88289.3220191349,80026.2233820999,Credit Card
ORD100050,08/07/2025,CUST11810,Laptop,Electronics,South,4,"₹73,365.34",0.1,264115.2417072927,253630.55796348257,Cash
ORD100051,22/05/2024,CUST10208,Tablet,Electronics,North,5,"₹20,434.62",0.2,81738.47003676897,89701.4844271531,Cash
ORD100052,22/09/2024,CUST10939,Tablet,Electronics,North,6,"₹25,235.55",0.1,136271.97810422283,131181.5560912799,Cash
ORD100053,06/12/2024,CUST11471,Smartphone,Electronics,South,7,"₹25,674.14",0.15,152761.1568595826,145012.59076943845,Debit Card
ORD100054,29/12/2024,CUST12126,Mouse,Accessories,South,2,₹797.00,0.15,1354.90710354901,1223.6929610321852,Cash
ORD100055,01/02/2024,CUST10343,Laptop,Electronics,North,4,"₹58,870.69",0.05,223708.6142766312,162351.54103968194,UPI
ORD100056,03/02/2025,CUST11335,Keyboard,Accessories,West,4,"₹1,572.97",,6291.883570437777,5443.804435092831,Credit Card
ORD100057,22/04/2024,CUST11785,Printer,Office Equipment,,3,"₹8,833.19",0.1,23849.608246267515,19280.385615732226,Cash
ORD100058,26/06/2025,CUST10992,Smartphone,Electronics,East,7,"₹33,288.35",0.0,233018.4470698635,152966.45503579522,Net Banking
ORD100059,13/05/2025,CUST11095,Smartphone,Electronics,North,4,"₹32,886.83",0.05,124969.96897930047,83007.33054742157,UPI
ORD100060,04/11/2025,CUST11149,Monitor,Electronics,North,5,"₹12,881.12",0.1,57965.061067971394,53715.55517651859,Credit Card
ORD100061,27/06/2025,CUST12165,Headphones,Electronics,East,2,"₹2,130.56",0.2,3408.891282322549,2948.2056923567175,Net Banking
